ISO3 Code,Country,Cereal Availability (kg/person/yr),Cereal Yield (kg/ha),GDP per Capita (USD),Rural Electricity Access (%),Post-Harvest Loss (%),Trade % GDP,Fertiliser Efficiency,Rural Population (%),Availability Band
NLD,Netherlands,281.02810000000005,7850.7,49780.8440526836,100.0,0.52,163.15,28.73,5.3705216779685,Very Low
NOR,Norway,367.4528,4183.7,77812.7115614383,100.0,1.44,71.22,19.85,17.1387122773044,Medium
NPL,Nepal,616.7186,3063.2,1062.7888430629,,7.98,43.05,27.2,33.855764725478,Very High
NZL,New Zealand,323.86085,8809.4,41490.1148198326,100.0,1.84,48.54,6.1,16.1700617414095,Low
OMN,Oman,280.9405,25977.8,18291.3387983888,100.0,0.26,95.95,68.34,19.8760057896431,Very Low
PAK,Pakistan,417.30085,3489.4,1595.02792175422,91.9,4.82,27.03,21.55,62.0666604485827,High
PAN,Panama,409.2672,3515.9,14552.9401400295,,1.65,80.13,28.37,34.1907697310831,High
PER,Peru,376.3588,4703.6,6547.84718181776,83.6,2.5,55.43,42.06,16.0519881727639,Medium
PHL,Philippines,622.1315500000001,3832.9,3350.97587587776,96.5,0.65,63.48,16.52,45.5495897489224,Very High
PNG,Papua New Guinea,194.38075,4817.3,2378.3716816549,14.0,0.12,,44.52,85.5601657177647,Very Low
POL,Poland,377.32605,4562.5,16368.6239689025,100.0,5.7,110.87,29.24,40.1903486794457,Medium
PRT,Portugal,345.0053,5379.7,20747.6990734163,100.0,2.31,85.87,29.15,38.9048750703403,Low
PRY,Paraguay,438.68985,3823.1,6278.11006663809,100.0,7.97,69.74,25.6,32.6941387227579,High
QAT,Qatar,489.4796,8431.1,65488.5460040395,100.0,1.14,92.78,35.09,0.796591091756994,Very High
ROU,Romania,445.5117,5187.8,11546.3224998072,100.0,1.57,87.07,52.77,47.7678487869189,High
RUS,Russian Federation,424.1884,2705.4,10231.318359375,100.0,1.11,50.59,98.37,25.2483159779748,High
RWA,Rwanda,213.9995,1519.0,896.271033574985,38.2,14.0,54.29,63.55,73.8950907237167,Very Low
