country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,irrigated_land_pct,livestock_production_index,gdp_per_capita_usd,agri_value_added_pct_gdp,food_price_inflation_pct,population_total,rural_population_pct,agri_employment_pct,female_agri_employment_pct,internet_users_pct,rural_electricity_access_pct,stunting_pct_children,account_ownership_pct,account_ownership_female_pct,account_ownership_poorest40_pct,bank_branches_per_100k,atm_per_100k,private_credit_pct_gdp,bank_deposits_pct_gdp,cereal_loss_pct,wgi_control_of_corruption,wgi_government_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability,lpi_overall,trade_pct_gdp,poverty_headcount_pct_215,mobile_subscriptions_per_100,fertiliser_efficiency,bank_branches_scaled,atm_scaled,credit_scaled,value_chain_finance_score,cereal_availability_kg_pc
IND,India,3527.9,193.601012213706,51.8513672856427,42.9821498809773,135.29,1965.30943437506,17.3725615260314,5.13140747176369,1414203896,65.5574482818696,44.0791868866382,59.2958420307118,49.2580986,99.3,,77.5291370626274,77.552612718915,75.9045265264345,14.4205333373614,21.2061324217161,36.8920885102897,36.8920885102897,4.48,-0.300757,0.2400136,-0.6015988,-0.169914899999999,-0.1841026,-0.0956843999999999,3.4,45.42,1.3,81.603974311212,18.22,11.75,6.99,14.23,37.29,480.6831
IRL,Ireland,8606.5,1303.10550458716,6.32893017854551,,121.26,92781.2322150786,1.03312440304987,2.34034113447044,5110585,36.3225770643015,4.81198871473877,1.33602361159962,93.50610352,100.0,,99.6633988421918,99.5347901476089,100.0,15.9269602503262,44.5557953420339,26.4830620089049,26.4830620089049,2.36,1.6117468,1.6184383999999998,0.7362963,1.621098,1.5453584,1.5787476,3.6,231.03,0.04,106.86972424373,6.6,12.97,14.69,10.22,47.48,319.32025
IRN,"Iran, Islamic Rep.",2301.5,68.2894451875916,9.67580893682589,16.937557099454,102.36,5300.62271961895,10.6344854027271,43.3890162681514,88455488,24.0073623657227,14.9288315364083,14.1266981037204,78.5957366,100.0,,89.9846708281017,85.0800160707079,83.8635410869775,,,,,2.64,-1.1267612,-0.6566521,-1.1577773,-1.39362039999999,-1.06900019999999,-1.4876262,2.3,42.67,1.22,153.624638869213,33.7,,,,84.47,520.8769
IRQ,Iraq,2793.3,50.7627289192997,11.4458802662797,,123.89,4182.5006404573,3.27919752953038,6.04186489058044,43071211,30.1317291259766,8.61905351927079,14.5351705616703,65.00219727,100.0,,18.5652818204679,14.8905592479774,15.4766679006905,3.6305334545491,5.81330816955407,11.1956027502836,11.1956027502836,4.26,-1.37400869999999,-1.2310377,-2.1722684,-1.1622157,-1.4374976,-1.0273564,2.4,61.5,0.04,94.6092832170426,55.03,2.96,1.92,4.32,7.91,579.04695
ISL,Iceland,3120.8,139.867768595041,1.20003967073292,0.0026709401709401,103.47,54285.0209153958,4.19210472871823,4.44423970189739,372520,5.7891793596159,4.09422697266213,1.73805025209558,99.68701957,100.0,,100.0,100.0,100.0,26.3918396431823,69.9383750544331,99.5228207903758,99.5228207903758,3.0,1.8584301,1.8005665,1.3382488,1.6297845,1.7076167999999998,1.4547451,3.6,76.23,0.06,117.34255750797,22.31,21.5,23.06,38.4,56.59,367.336
ISR,Israel,2147.5,282.187155963303,12.5924214417745,37.3654916512059,105.12,40804.9689802536,1.32603835479545,1.47965474722561,9371400,8.4646482450534,0.795749002030955,0.436634626418138,90.29689758,100.0,,92.9252212375394,91.9317835036602,62.7565678500138,15.286353965405,132.184623502598,69.1844619109811,69.178361203535,1.85,0.9249105,1.5896737,-0.699899199999999,1.1753426,0.8807927,0.5273842,3.6,54.9,0.5599999999999999,139.775312861878,7.61,12.45,43.59,26.69,47.48,411.3769
ITA,Italy,5562.8,112.800112111925,24.3232955832773,19.7209861018729,107.33,32267.7091050201,1.83339290794707,1.87378325762481,59133173,30.5187492370606,4.05017313104733,2.46972529735297,74.8623274,100.0,,97.2945565478995,97.0916020313244,97.2532463653889,34.3802558128779,88.2312984660593,76.0051221503914,74.4472993704123,1.18,0.5394316,0.574774,0.4392225999999999,0.5735641,0.5885,1.0203423,3.7,60.3,0.96,130.781488497698,49.32,28.0,29.09,29.32,56.15,385.3451
JAM,Jamaica,1118.0,65.2916666666667,11.0803324099723,,106.92,5607.45378253877,7.38278062941281,5.86278242801063,2837682,42.4588982062774,15.7378858911986,9.38174220579213,82.36071561,100.0,,73.3003615105011,71.5532326995049,59.9446186388182,6.38953819612687,35.1868318717264,50.0226967195616,49.9097648897745,9.0,-0.0851526,0.3396405999999999,0.1423134999999999,0.1818115,-0.0742917999999999,0.5026750999999999,2.5,,0.1399999999999999,102.38666630017,17.12,5.2,11.6,19.3,33.52,320.41525
JOR,Jordan,1532.0,88.5843373493976,2.24339482397459,8.75855327468231,133.64,3874.32714084633,4.78675277704391,1.34609377243118,11066356,7.88202708954699,3.27982015294243,0.624487376259735,85.999997,98.8,,47.1196643097766,34.0620291622273,38.7134641698401,12.8711486215692,29.2163094357232,81.9629622069253,81.8944564518806,2.58,0.0177108,0.1228638,-0.390988399999999,0.1917529,0.0436082,-0.715912,2.69,80.33,0.05,65.7448847660422,17.29,10.48,9.63,31.62,24.9,375.658
JPN,Japan,6417.0,209.813999021047,11.2098765432099,,104.09,35741.1601062924,1.01041770067097,-0.233352779398264,125681593,8.1258950720473,3.16651807349569,2.59998585802904,82.91407928,100.0,,98.4894200399726,98.8416283825373,94.0950697950197,33.6920016257728,116.245928037657,195.272084840154,120.048102558038,7.0,1.4554011,1.653038,1.1600529,1.3955783,1.5319019,1.0951218,3.9,36.74,0.8200000000000001,159.516123485628,30.58,27.44,38.33,75.34,66.81,
KAZ,Kazakhstan,1038.3,4.44561286430264,10.9899988887654,0.830464232025938,123.89,10873.3915275276,5.03000193996331,8.04147134028401,19743603,38.969745719733,12.8283435948531,11.2612620833006,90.9239507,100.0,,81.1084645196623,83.6291847733808,61.8758413234567,13.137158733548,92.9310211037737,26.0102223624021,23.0446356600739,6.81,-0.2698189,0.017817,-0.2325504,0.0132366999999999,-0.4655785,-0.8581561,2.7,58.67,0.01,123.943942754522,233.56,10.7,30.64,10.04,39.38,322.9228
KEN,Kenya,1522.4,53.0505986519714,11.4175064467254,,103.55,1698.89578271444,21.4770750957252,6.10793603659176,53219166,68.7120665978029,51.2354676158147,57.9591153884423,26.96290016,68.2,,79.1951576168317,75.3574331684213,61.0172451989758,4.58748945688963,7.01904261361217,31.1231240199267,31.0956151229703,13.5,-0.710787899999999,-0.3468069,-1.11021939999999,-0.424813499999999,-0.445618199999999,-0.437757499999999,2.81,35.0,20.94,122.297519656734,28.7,3.74,2.31,12.01,30.89,352.02060000000006
KGZ,Kyrgyz Republic,2334.9,26.1006680130496,6.71220020855057,9.68831093661068,112.81,1132.5546781282,12.4122330298243,11.9050398185147,6851224,65.2478789828796,16.8140070793762,19.8962698096564,77.11769867,99.6,8.6,45.0948439820275,43.756073592119,28.9362826040683,7.54678556495913,43.0279415793191,24.1631715005894,23.9744704348828,0.73,-1.1583724,-0.842252799999999,-0.3876484,-0.5122396,-0.879262,-0.5153924,2.3,100.26,0.8,108.171654806063,89.46,6.15,14.19,9.32,20.47,362.6713
KHM,Cambodia,3565.6,49.5837556187719,23.3409228416044,,94.16,1938.76436741728,16.9044143710096,2.92073477592949,16974305,59.8908141871153,37.1315873016896,39.6320832073133,60.76269913,77.1,21.9,33.3949915672468,32.524222340901,28.7743580260272,12.3970993856871,31.6492661070635,121.842231182128,121.826219178824,6.21,-1.0917539,-0.643403,-0.1486895,-0.6885401,-1.14770479999999,-1.4431473,2.4,146.18,4.14,117.234785164989,71.91,10.1,10.44,47.01,25.77,519.6505
KOR,"Korea, Rep.",6826.1,281.478034251675,13.7602459016393,,108.55,34792.9397214598,1.66515978191584,2.49833333333339,51769539,18.8383473492215,5.34699533496314,4.79354168854125,97.57132698,100.0,,98.6713470938187,98.6826236627064,95.5551077428415,13.588254959598,257.124510837619,159.926120236306,159.926120236306,2.04,0.7614152,1.6261842,0.9005342,0.9879995,1.1681575,0.991734,3.8,75.31,0.06,140.516382791931,24.25,11.07,84.78,61.7,70.36,398.24784999999997
KWT,Kuwait,14702.4,1208.25,0.448933782267116,,116.09,26203.2617257856,0.473024818982534,3.42362947609188,4360865,0.0,1.99092694417687,0.176468835813886,99.7,100.0,4.3,,,,12.677167139351,66.4283558101992,,4.65565737536907,1.63,-0.0606404,0.0296612,0.1542147999999999,0.1641700999999999,0.1194986,-0.5604317,3.2,82.0,0.02,158.646854136291,12.17,10.33,21.9,,16.11,463.33465
LAO,Lao PDR,3993.8,72.1004901960784,5.30329289428076,19.9506876583424,181.18,2556.58912640405,16.0676970155249,3.75562036658877,7453194,62.661221731643,69.8577324066029,69.9478593832743,62.0,100.0,,37.3200289962313,37.8537503564048,28.7249334424894,3.06518077635758,27.6451973205243,,,4.16,-1.0773186,-0.7431648,0.583086,-0.742067799999999,-0.7575675,-1.3981687,2.4,,3.78,64.7101497693472,55.39,2.5,9.12,,19.55,583.9562000000001
LBN,Lebanon,2177.9,143.927716271112,13.8435679374389,,118.15,5973.41933892988,1.40016561487545,154.756096023393,5718122,10.034637954559,3.57626845572298,1.55777869920897,82.65599823,100.0,7.0,20.7030978086648,16.5927162989733,15.5081553870459,23.1964282935161,42.5885435335694,,,1.96,-1.2586741,-1.0567104,-1.3231817,-0.821736999999999,-1.0028379,-0.7622156,2.72,78.83,0.0,74.9935205999452,15.13,18.89,14.04,,16.26,391.2581
LBR,Liberia,1051.9,15.498,5.19102990033223,,103.2,621.927983063426,37.4176170873767,7.81559385858648,5259323,46.0775381140902,43.7763770463323,46.9155360922454,26.38229942,8.1,,51.6311457560752,44.1999602431587,42.8471732793079,3.13370541732795,3.85184624213227,12.8996951357409,12.6981253405117,11.4,-0.9896145,-1.32722149999999,-0.2103506,-0.945724799999999,-0.8429491,-0.187357599999999,2.4,,17.95,31.429900768597,67.87,2.55,1.27,4.98,19.17,395.67095
LBY,Libya,673.4,14.7238372093023,0.977528217602328,,118.22,7731.35448152581,1.9292341608539,2.86833027751019,7135175,12.1634981728165,10.8195844563305,7.11397542951866,77.438797,,,,,,12.1667982475637,11.3946343793649,11.0391738497626,10.9582046319331,5.52,-1.5502152,-1.4589466,-2.2069296,-1.9018167,-1.56279409999999,-1.26873449999999,1.9,164.28,0.7000000000000001,195.117849246865,45.74,9.91,3.76,4.26,5.98,438.85044999999997
LKA,Sri Lanka,4541.1,153.93804664723,22.1791141286777,,128.88,4357.97225779491,8.78994016463402,7.01478071238195,22156000,80.1733724804731,27.2756790552661,29.1974347869667,44.45308724,100.0,7.4,89.2707132323262,89.2774734204631,76.9279071770383,17.287226773206,,,,3.32,-0.3367364,-0.2353399,-0.510938,-0.1629445,-0.2315397,-0.2581614,,41.23,0.4,135.522602889503,29.5,14.08,,,60.1,629.42425
