country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
IDN,Indonesia,5695.7,381.229919311091,9.40017404086973,276758053,3850.68877253903,62.10447842,24.4,,51.755324070215,15.9173180592044,48.4548591785955,9.35,14.94
IND,India,3527.9,193.601012213706,51.8513672856427,1414203896,1965.30943437506,49.2580986,,42.9821498809773,77.5291370626274,14.4205333373614,21.2061324217161,1.69,18.22
IRL,Ireland,8606.5,1303.10550458716,6.32893017854551,5110585,92781.2322150786,93.50610352,,,99.6633988421918,15.9269602503262,44.5557953420339,,6.6
IRN,"Iran, Islamic Rep.",2301.5,68.2894451875916,9.67580893682589,88455488,5300.62271961895,78.5957366,,16.937557099454,89.9846708281017,,,5.4,33.7
IRQ,Iraq,2793.3,50.7627289192997,11.4458802662797,43071211,4182.5006404573,65.00219727,,,18.5652818204679,3.6305334545491,5.81330816955407,,55.03
ISL,Iceland,3120.8,139.867768595041,1.20003967073292,372520,54285.0209153958,99.68701957,,0.0026709401709401,100.0,26.3918396431823,69.9383750544331,,22.31
ISR,Israel,2147.5,282.187155963303,12.5924214417745,9371400,40804.9689802536,90.29689758,,37.3654916512059,92.9252212375394,15.286353965405,132.184623502598,,7.61
ITA,Italy,5562.8,112.800112111925,24.3232955832773,59133173,32267.7091050201,74.8623274,,19.7209861018729,97.2945565478995,34.3802558128779,88.2312984660593,,49.32
JAM,Jamaica,1118.0,65.2916666666667,11.0803324099723,2837682,5607.45378253877,82.36071561,,,73.3003615105011,6.38953819612687,35.1868318717264,,17.12
JOR,Jordan,1532.0,88.5843373493976,2.24339482397459,11066356,3874.32714084633,85.999997,,8.75855327468231,47.1196643097766,12.8711486215692,29.2163094357232,5.42,17.29
JPN,Japan,6417.0,209.813999021047,11.2098765432099,125681593,35741.1601062924,82.91407928,,,98.4894200399726,33.6920016257728,116.245928037657,,30.58
KAZ,Kazakhstan,1038.3,4.44561286430264,10.9899988887654,19743603,10873.3915275276,90.9239507,,0.830464232025938,81.1084645196623,13.137158733548,92.9310211037737,2.5,233.56
KEN,Kenya,1522.4,53.0505986519714,11.4175064467254,53219166,1698.89578271444,26.96290016,,,79.1951576168317,4.58748945688963,7.01904261361217,3.65,28.7
KGZ,Kyrgyz Republic,2334.9,26.1006680130496,6.71220020855057,6851224,1132.5546781282,77.11769867,8.6,9.68831093661068,45.0948439820275,7.54678556495913,43.0279415793191,,89.46
KHM,Cambodia,3565.6,49.5837556187719,23.3409228416044,16974305,1938.76436741728,60.76269913,21.9,,33.3949915672468,12.3970993856871,31.6492661070635,18.33,71.91
KOR,"Korea, Rep.",6826.1,281.478034251675,13.7602459016393,51769539,34792.9397214598,97.57132698,,,98.6713470938187,13.588254959598,257.124510837619,,24.25
KWT,Kuwait,14702.4,1208.25,0.448933782267116,4360865,26203.2617257856,99.7,4.3,,,12.677167139351,66.4283558101992,,12.17
LAO,Lao PDR,3993.8,72.1004901960784,5.30329289428076,7453194,2556.58912640405,62.0,,19.9506876583424,37.3200289962313,3.06518077635758,27.6451973205243,,55.39
LBN,Lebanon,2177.9,143.927716271112,13.8435679374389,5718122,5973.41933892988,82.65599823,7.0,,20.7030978086648,23.1964282935161,42.5885435335694,,15.13
LBR,Liberia,1051.9,15.498,5.19102990033223,5259323,621.927983063426,26.38229942,,,51.6311457560752,3.13370541732795,3.85184624213227,3.69,67.87
LBY,Libya,673.4,14.7238372093023,0.977528217602328,7135175,7731.35448152581,77.438797,,,,12.1667982475637,11.3946343793649,,45.74
LKA,Sri Lanka,4541.1,153.93804664723,22.1791141286777,22156000,4357.97225779491,44.45308724,7.4,,89.2707132323262,17.287226773206,,,29.5
LSO,Lesotho,972.5,15.7719609582964,7.42424242424242,2261542,955.221236301503,45.05670166,,,,3.59159566614123,13.5017392634568,2.99,61.66
LTU,Lithuania,3937.2,139.684510750329,36.3999361124421,2808380,18569.7057246217,86.93054425,0.7,,93.5322396656764,11.1129913394438,42.6839894628636,0.6,28.19
LUX,Luxembourg,5593.3,226.997694967345,24.2660596785345,640064,110873.185245175,98.66086333,,,,56.6697509875401,99.4043173060129,,24.64
LVA,Latvia,3900.2,111.814977973568,21.8865498955488,1884490,16070.1680032322,91.17964988,0.5,,96.6187204898816,6.54083113838135,57.0435946395373,,34.88
MAR,Morocco,2328.7,58.2241595588995,15.9842189110464,36954442,3309.130859375,88.13031937,,,44.3728342386603,22.4515822539656,29.2766567739344,4.95,40.0
MDA,Moldova,5157.7,46.5772751750135,56.4609303739739,2595809,3688.16729442144,74.91899872,,8.66747671121912,64.2455175635428,31.0806208245924,55.3398380060748,,110.73
MDG,Madagascar,2776.5,6.52566666666667,5.15641113784806,29691083,431.599103077746,13.74590015,39.8,,,2.88755578161427,3.08158126891641,3.1,425.47
MDV,Maldives,2442.8,110.25641025641,13.0,516154,9759.2219360708,81.95760345,,,,14.9434354223113,42.6255371062649,,22.16
MEX,Mexico,3878.9,101.244572127351,11.1488039301422,127648148,9728.05680032556,75.62650476,12.8,6.24613726871408,,12.2265389848338,63.5567592936892,,38.31
MKD,North Macedonia,3537.8,50.4916067146283,16.5344964314036,1837114,6064.92315120022,81.873703,,,85.2886912768171,25.1626656082783,63.6200385611365,,70.07
MLI,Mali,1441.2,8.08943771730008,6.83582065088224,22388630,872.332509419855,33.95650101,22.1,,43.5009858331426,4.40841041398445,4.62535974538132,2.58,178.16
MMR,Myanmar,3740.7,38.6606005459509,16.8385248287802,53387102,1136.99566055698,,,,47.7910290706127,,,,96.76
MNE,Montenegro,3193.4,311.910112359551,0.661710037174721,625053,7198.30460781272,82.21969752,,,,33.7525092325943,77.3741732115611,,10.24
MNG,Mongolia,1420.0,36.1616429275308,0.719629831519216,3383741,4063.53669849245,81.60682285,,0.0395838555492778,98.4550191343593,61.5811184245136,46.3737209097737,,39.27
MOZ,Mozambique,997.3,12.2569911504425,7.18482158752766,31707800,588.215854695416,16.35759926,,,49.4927479032385,3.7643270008865,9.06206367713411,2.91,81.37
MRT,Mauritania,2035.6,11.3155555555556,0.436596487823809,4734874,1520.3111804259,35.63660049,17.4,,,12.2186396655904,11.8076150896836,2.97,179.89
MUS,Mauritius,8640.6,186.493333333333,37.5563345017526,1266334,9804.0031863121,71.59999847,,17.7906976744186,90.5263443555157,15.061881598454,42.6279667880774,,46.33
MWI,Malawi,2319.1,41.86125,42.4268137462877,20047258,569.968967322435,15.30300045,,,42.7078088726996,1.99890254943215,4.40466136998766,3.12,55.4
MYS,Malaysia,3768.1,2148.04861203669,2.51197686805661,34282399,10388.2667120857,96.7514278,,5.15692451289231,88.3748841160555,8.45937989806989,52.7822003512111,,1.75
NAM,Namibia,471.2,3.72625,0.971711061715799,2810548,3809.80753359714,60.25999832,,,71.3463883283129,9.47905469662378,74.0357540030419,2.19,126.45
NER,Niger,360.5,0.469265536723164,13.9733164916713,24502140,523.263179518652,12.45689964,44.4,0.577494983744112,,1.58103146647876,1.86778717363422,2.86,768.22
NGA,Nigeria,1621.9,17.9649598611412,40.4844252665327,218529286,2206.66406250067,35.50979996,33.8,,45.3166327186278,4.2411550331707,15.9921207221934,5.88,90.28
NIC,Nicaragua,2403.1,68.707252162342,12.4896127638358,6644741,2128.30881395452,51.62039948,,,26.0328025128629,7.91224795106181,21.4820663367878,,34.98
NLD,Netherlands,7850.7,273.255234297109,29.7891297891298,17533044,49780.8440526836,92.05298013,,,99.7331679359432,5.44719845588461,33.1826860088336,0.6,28.73
NOR,Norway,4183.7,210.72263681592,2.20715403409559,5408320,77812.7115614383,99.0000036,,,99.4777714580126,,,,19.85
NPL,Nepal,3063.2,112.611046459612,12.8107938611789,29475010,1062.7888430629,40.98910141,,,54.0026922540655,22.412247187329,20.3940604008411,4.28,27.2
